Date		T_degC	PO4uM	SiO3uM	NO2uM	NO3uM	Salnty	O2ml_L
01/07/2000,	11.000,	02.230,	53.000,	00.000,	25.300,	33.895,	02.110
01/08/2000,	11.210,	02.910,	73.300,	00.000,	28.300,	34.022,	00.280
01/09/2000,	17.950,	00.190,	03.000,	00.000,	00.000,	33.622,	05.640
01/10/2000,	17.910,	00.190,	03.000,	00.000,	00.000,	33.621,	05.660
01/11/2000,	17.550,	00.180,	03.000,	00.000,	00.000,	33.616,	05.830
01/12/2000,	17.180,	00.160,	03.000,	00.000,	00.000,	33.612,	05.890
01/13/2000,	16.570,	00.240,	04.000,	00.000,	00.000,	33.610,	05.890
01/14/2000,	15.430,	00.300,	04.400,	00.020,	00.200,	33.619,	05.670
01/15/2000,	14.770,	00.400,	06.000,	00.050,	00.700,	33.627,	05.430
01/16/2000,	13.780,	00.540,	10.500,	00.020,	03.700,	33.685,	04.940
01/17/2000,	12.230,	01.180,	22.600,	00.000,	12.000,	33.788,	03.930
01/18/2000,	11.610,	01.690,	37.400,	00.000,	20.300,	33.888,	02.930
01/19/2000,	17.730,	00.290,	05.000,	00.000,	00.100,	33.630,	05.740
01/20/2000,	17.050,	00.290,	04.000,	00.000,	00.100,	33.630,	05.770
01/21/2000,	13.380,	00.400,	07.000,	00.050,	01.800,	33.570,	05.890
01/22/2000,	11.340,	00.880,	16.000,	00.060,	09.000,	33.590,	05.100
01/23/2000,	09.100,	02.060,	58.000,	00.000,	27.600,	34.000,	02.710
04/07/2000,	08.710,	02.160,	73.000,	00.000,	30.500,	34.140,	02.530
04/08/2000,	16.540,	00.290,	03.000,	00.000,	00.300,	33.530,	05.810
04/09/2000,	16.540,	00.290,	03.000,	00.000,	00.300,	33.530,	06.190
04/10/2000,	13.870,	00.610,	04.000,	00.000,	00.400,	33.410,	04.890
04/11/2000,	11.500,	00.960,	18.000,	00.130,	10.100,	33.440,	03.820
04/12/2000,	08.860,	01.760,	53.000,	00.000,	26.400,	33.920,	02.320
04/13/2000,	08.530,	02.240,	74.000,	00.000,	31.000,	34.130,	01.830
04/14/2000,	16.210,	00.320,	06.000,	00.000,	00.300,	33.670,	05.970
04/15/2000,	16.210,	00.430,	06.000,	00.000,	00.300,	33.670,	06.020
04/16/2000,	13.620,	00.450,	12.000,	00.110,	04.000,	33.540,	06.020
04/17/2000,	11.520,	01.470,	24.000,	00.440,	13.100,	33.560,	04.690
04/18/2000,	08.710,	02.320,	71.000,	00.000,	30.000,	34.070,	02.530
04/19/2000,	08.340,	02.560,	86.000,	00.000,	32.400,	34.140,	01.810
04/20/2000,	15.460,	00.510,	16.000,	00.000,	00.600,	33.600,	06.020
04/21/2000,	14.240,	00.560,	16.000,	00.000,	01.300,	33.600,	05.970
04/22/2000,	10.460,	01.580,	36.000,	00.020,	18.700,	33.720,	03.690
06/29/2000,	09.880,	01.920,	52.000,	00.000,	24.700,	33.940,	02.760
06/30/2000,	09.350,	02.350,	74.000,	00.000,	27.500,	34.200,	02.010
07/01/2000,	08.870,	02.460,	85.000,	00.000,	30.500,	34.230,	01.720
07/02/2000,	16.870,	00.210,	05.000,	00.000,	00.100,	33.580,	05.850
07/03/2000,	16.850,	00.350,	05.000,	00.000,	00.000,	33.570,	05.850
07/04/2000,	13.080,	00.350,	05.000,	00.000,	00.000,	33.490,	06.200
07/05/2000,	11.250,	00.640,	14.000,	00.000,	07.000,	33.540,	05.520
07/06/2000,	09.700,	01.920,	62.000,	00.000,	23.800,	34.090,	02.410
07/07/2000,	08.920,	02.080,	75.000,	00.000,	25.400,	34.150,	02.520
07/08/2000,	16.800,	00.210,	03.000,	00.000,	00.000,	33.560,	05.760
07/09/2000,	16.760,	00.320,	03.000,	00.000,	00.000,	33.560,	05.760
07/10/2000,	14.110,	00.320,	06.000,	00.000,	00.000,	33.440,	06.030
07/10/2000,	11.540,	00.830,	19.000,	00.340,	04.400,	33.460,	04.770
07/11/2000,	09.380,	01.870,	64.000,	00.000,	23.500,	34.130,	02.440
07/12/2000,	08.570,	02.110,	78.000,	00.060,	26.600,	34.130,	02.250
07/13/2000,	16.310,	00.350,	04.000,	00.000,	00.700,	33.570,	06.000
10/12/2000,	16.090,	00.320,	04.000,	00.000,	00.600,	33.620,	06.000
10/13/2000,	13.800,	00.510,	09.000,	00.000,	02.200,	33.530,	06.120
10/14/2000,	09.080,	01.790,	54.000,	00.000,	21.600,	33.930,	03.230
10/15/2000,	08.530,	02.270,	80.000,	00.000,	26.300,	34.140,	02.270
10/16/2000,	16.990,	00.270,	03.000,	00.000,	00.300,	33.480,	05.740
10/17/2000,	16.980,	00.320,	03.000,	00.000,	00.300,	33.490,	05.750
